CCSR Category,CCSR Category Description,Clinical Domain,ICD-10-PCS Root Operations,ICD-10-PCS Body Parts,ICD-10-PCS Devices,ICD-10-PCS Approaches
ADM014,Regional anesthesia,Administration of Therapeutic Substances,Introduction,"Peripheral Nerves and Plexi, Spinal Canal, Epidural Space, Peripheral Vein, Joints, Muscle, Subcutaneous Tissue, Central Vein, Respiratory Tract, Mouth and Pharynx, Cranial Nerves, Peripheral Artery, Upper GI, Skin and Mucous Membranes, Peritoneal Cavity, Female Reproductive, Male Reproductive, Eye, Lower GI, Bones, Genitourinary Tract, Nose, Central Artery, Cranial Cavity and Brain, Pericardial Cavity, Lymphatics, Ear, Pleural Cavity","Anesthetic Agent, ""Analgesics, Hypnotics, Sedatives"", Intracirculatory Anesthetic","Percutaneous, Via Natural or Artificial Opening, External, Via Natural or Artificial Opening Endoscopic, Open"
ADM015,Administration of antibiotics,Administration of Therapeutic Substances,Introduction,"Peripheral Vein, Subcutaneous Tissue, Joints, Central Vein, Bones, Muscle, Mouth and Pharynx, Eye, Skin and Mucous Membranes, Pleural Cavity, Peripheral Artery, Peritoneal Cavity, Spinal Canal, Cranial Cavity and Brain, Genitourinary Tract, Respiratory Tract, Upper GI, Lower GI, Epidural Space, Central Artery, Ear, Lymphatics, Male Reproductive, Female Reproductive, Pericardial Cavity","Anti-infective, Meropenem-vaborbactam Anti-infective, Ceftolozane/Tazobactam Anti-infective, Ceftazidime-Avibactam Anti-infective, Isavuconazole Anti-infective, Imipenem-cilastatin-relebactam Anti-infective, Plazomicin Anti-infective, Fosfomycin Anti-infective, Cefiderocol Anti-infective, Lefamulin Anti-infective, Omadacycline Anti-infective","Percutaneous, Open, External, Via Natural or Artificial Opening, Via Natural or Artificial Opening Endoscopic"
ADM016,Administration of anti-inflammatory agents,Administration of Therapeutic Substances,Introduction,"Peripheral Vein, Joints, Peripheral Nerves and Plexi, Spinal Canal, Mouth and Pharynx, Respiratory Tract, Muscle, Central Vein, Epidural Space, Subcutaneous Tissue, Peripheral Artery, Skin and Mucous Membranes, Upper GI, Eye, Bones, Female Reproductive, Ear, Genitourinary Tract, Cranial Nerves, Lower GI, Biliary and Pancreatic Tract, Nose, Male Reproductive, Central Artery, Lymphatics, Cranial Cavity and Brain, Peritoneal Cavity",Anti-inflammatory,"Percutaneous, Via Natural or Artificial Opening, External, Via Natural or Artificial Opening Endoscopic, Open"
ADM017,Administration of nutritional and electrolytic substances,Administration of Therapeutic Substances,Introduction,"Upper GI, Peripheral Vein, Central Vein, Lower GI, Central Artery, Muscle, Peripheral Artery, Female Reproductive, Respiratory Tract, Joints, Mouth and Pharynx, Subcutaneous Tissue, Bones, Peritoneal Cavity, Genitourinary Tract, Cranial Cavity and Brain, Biliary and Pancreatic Tract, Pleural Cavity, Spinal Canal, Pericardial Cavity","Nutritional Substance, Electrolytic and Water Balance Substance","Percutaneous, Via Natural or Artificial Opening, Open, Via Natural or Artificial Opening Endoscopic, External"
ADM018,Irrigation (diagnostic and therapeutic),Administration of Therapeutic Substances,Irrigation,"Peritoneal Cavity, Skin and Mucous Membranes, Genitourinary Tract, None, Joints, Respiratory Tract, Lower GI, Upper GI, Nose, Ear, Female Reproductive, Pleural Cavity, Cranial Cavity and Brain, Pericardial Cavity, Male Reproductive, Spinal Canal, Biliary and Pancreatic Tract, Eye, Epidural Space",Irrigating Substance,"Percutaneous, External, Via Natural or Artificial Opening, Via Natural or Artificial Opening Endoscopic, Percutaneous Endoscopic"
ADM019,Potential COVID-19 therapies,Administration of Therapeutic Substances,"Introduction, Transfusion","Peripheral Vein, Central Vein, Mouth and Pharynx, Subcutaneous Tissue","Remdesivir Anti-infective, Convalescent Plasma, Tocilizumab, Other New Technology Therapeutic Substance, Sarilumab","Percutaneous, External"
ADM020,"Administration of diagnostic substances, NEC",Administration of Therapeutic Substances,Introduction,"Coronary Artery, Peripheral Vein, Lower GI, Upper GI, Heart, Female Reproductive, Joints, Genitourinary Tract, Central Artery, Spinal Canal, Peritoneal Cavity, Lymphatics, Central Vein, Respiratory Tract, Biliary and Pancreatic Tract, Muscle, Skin and Mucous Membranes, Cranial Cavity and Brain, Peripheral Artery, Eye, Subcutaneous Tissue, Mouth and Pharynx, Pleural Cavity, Epidural Space, Pericardial Cavity, Male Reproductive",Other Diagnostic Substance,"Percutaneous, Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening, External, Open"
ADM021,"Administration of therapeutic substances, NEC",Administration of Therapeutic Substances,Introduction,"Respiratory Tract, Peripheral Vein, Joints, Subcutaneous Tissue, Female Reproductive, Mouth and Pharynx, Upper GI, Pleural Cavity, Muscle, Spinal Canal, Lower GI, Peritoneal Cavity, Peripheral Artery, Central Vein, Heart, Eye, Bones, Coronary Artery, Peripheral Nerves and Plexi, Genitourinary Tract, Skin and Mucous Membranes, Bone Marrow, Central Artery, Cranial Cavity and Brain, Nose, Epidural Space, Male Reproductive, Lymphatics, Biliary and Pancreatic Tract, Vein Graft, Cranial Nerves, Pericardial Cavity, Ear","Other Therapeutic Substance, Gas, Adhesion Barrier, Immunotherapeutic, Antiarrhythmic, Destructive Agent, Other New Technology Therapeutic Substance, ""Coagulation Factor Xa, Inactivated"", Ruxolitinib, Mineral-based Topical Hemostatic Agent, Pigment, Endothelial Damage Inhibitor, ""Idarucizumab, Dabigatran Reversal Agent"", Caplacizumab, Eculizumab, Bezlotoxumab Monoclonal Antibody, Defibrotide Sodium Anticoagulant, Concentrated Bone Marrow Aspirate, Brexanolone, Uridine Triacetate","Via Natural or Artificial Opening, Percutaneous, Open, Via Natural or Artificial Opening Endoscopic, External, Percutaneous Endoscopic"
ADM022,COVID-19 vaccinations,Administration of Therapeutic Substances,,,,
CAR001,Heart biopsy,Cardiovascular Procedures,"Excision, Inspection","""Ventricle, Right"", Heart, Ventricular Septum, ""Atrium, Right"", ""Ventricle, Left"", ""Atrium, Left"", Papillary Muscle, Atrial Septum",No Device,"Percutaneous, Open, Percutaneous Endoscopic"
CAR002,Heart conduction mechanism procedures,Cardiovascular Procedures,"Destruction, Map, Resection, Division, Excision, Repair, Extirpation",Conduction Mechanism,No Device,"Percutaneous, Open, Percutaneous Endoscopic"
CAR003,Coronary artery bypass grafts (CABG),Cardiovascular Procedures,Bypass,"""Coronary Artery, One Artery"", ""Coronary Artery, Two Arteries"", ""Coronary Artery, Three Arteries"", ""Coronary Artery, Four or More Arteries""","Autologous Venous Tissue, No Device, Autologous Arterial Tissue, Nonautologous Tissue Substitute, Zooplastic Tissue, Synthetic Substitute","Open, Percutaneous Endoscopic"
CAR004,Percutaneous coronary interventions (PCI),Cardiovascular Procedures,"Dilation, Extirpation, Insertion, Supplement, Repair, Bypass","""Coronary Artery, One Artery"", ""Coronary Artery, Two Arteries"", ""Coronary Artery, Three Arteries"", ""Coronary Artery, Four or More Arteries""","""Intraluminal Device, Drug-eluting"", ""Intraluminal Device, Drug-eluting, Two"", No Device, ""Intraluminal Device, Drug-eluting, Three"", ""Intraluminal Device, Drug-eluting, Four or More"", Intraluminal Device, Orbital Atherectomy Technology, ""Intraluminal Device, Two"", ""Intraluminal Device, Three"", ""Intraluminal Device, Four or More"", Synthetic Substitute, ""Intraluminal Device, Radioactive"", Other Device, Autologous Tissue Substitute",Percutaneous
CAR005,Other coronary artery procedures (excluding CABG and PCI),Cardiovascular Procedures,"Extirpation, Reposition, Dilation, Release, Repair, Supplement, Insertion","""Coronary Artery, One Artery"", ""Coronary Artery, Two Arteries"", ""Coronary Artery, Three Arteries"", ""Coronary Artery, Four or More Arteries""","No Device, ""Intraluminal Device, Drug-eluting"", Autologous Tissue Substitute, ""Intraluminal Device, Drug-eluting, Two"", Synthetic Substitute, Intraluminal Device, ""Intraluminal Device, Drug-eluting, Three"", Zooplastic Tissue, ""Intraluminal Device, Drug-eluting, Four or More"", Nonautologous Tissue Substitute, ""Intraluminal Device, Two"", ""Intraluminal Device, Three"", ""Intraluminal Device, Four or More""","Open, Percutaneous Endoscopic"
CAR006,Carotid endarterectomy and stenting,Cardiovascular Procedures,"Extirpation, Supplement, Dilation, Restriction, Bypass, Repair, Assistance, Replacement","""Internal Carotid Artery, Right"", ""Internal Carotid Artery, Left"", ""Common Carotid Artery, Left"", ""Common Carotid Artery, Right"", ""External Carotid Artery, Right"", ""External Carotid Artery, Left""","No Device, Nonautologous Tissue Substitute, Intraluminal Device, Synthetic Substitute, ""Intraluminal Device, Flow Diverter"", ""Intraluminal Device, Drug-eluting"", Autologous Tissue Substitute, ""Intraluminal Device, Two"", ""Cerebral Embolic Filtration, Extracorporeal Flow Reversal Circuit"", Autologous Venous Tissue, ""Intraluminal Device, Bioactive"", Autologous Arterial Tissue, Extraluminal Device, ""Intraluminal Device, Drug-eluting, Two"", ""Intraluminal Device, Three"", ""Intraluminal Device, Drug-eluting, Four or More"", ""Intraluminal Device, Drug-eluting, Three"", ""Intraluminal Device, Four or More""","Open, Percutaneous, Percutaneous Endoscopic"
CAR007,"Embolectomy, endarterectomy, and related vessel procedures (non-endovascular; excluding carotid)",Cardiovascular Procedures,"Extirpation, Dilation","""Femoral Artery, Right"", ""Femoral Artery, Left"", ""Popliteal Artery, Left"", ""External Iliac Artery, Right"", ""Popliteal Artery, Right"", ""External Iliac Artery, Left"", ""Brachial Artery, Left"", ""Common Iliac Artery, Left"", ""Common Iliac Artery, Right"", Abdominal Aorta, ""Posterior Tibial Artery, Left"", ""Anterior Tibial Artery, Left"", ""Brachial Artery, Right"", ""Anterior Tibial Artery, Right"", ""Posterior Tibial Artery, Right"", Upper Artery, Upper Vein, Lower Artery, ""Peroneal Artery, Right"", ""Radial Artery, Left"", ""Pulmonary Artery, Right"", ""Peroneal Artery, Left"", ""Pulmonary Artery, Left"", Superior Mesenteric Artery, ""Radial Artery, Right"", ""Cephalic Vein, Left"", ""Ulnar Artery, Left"", ""Axillary Artery, Left"", Inferior Vena Cava, ""Axillary Artery, Right"", Portal Vein, ""Ulnar Artery, Right"", ""Axillary Vein, Left"", ""Cephalic Vein, Right"", ""Thoracic Aorta, Ascending/Arch"", ""Basilic Vein, Left"", ""Internal Iliac Artery, Left"", ""Internal Iliac Artery, Right"", Lower Vein, ""Brachial Vein, Left"", ""Subclavian Artery, Left"", ""Femoral Vein, Left"", ""Axillary Vein, Right"", ""Renal Artery, Left"", ""Femoral Vein, Right"", ""Subclavian Artery, Right"", ""Brachial Vein, Right"", Intracranial Artery, ""Renal Artery, Right"", ""Foot Artery, Left"", Pulmonary Trunk, ""Renal Vein, Left"", Hepatic Artery, ""Foot Artery, Right"", ""Thoracic Aorta, Descending"", Innominate Artery, ""Saphenous Vein, Left"", Superior Vena Cava, ""Basilic Vein, Right"", Celiac Artery, ""Renal Vein, Right"", ""Common Iliac Vein, Left"", ""Subclavian Vein, Left"", ""Subclavian Vein, Right"", ""Common Iliac Vein, Right"", Inferior Mesenteric Artery, ""Saphenous Vein, Right"", ""Innominate Vein, Left"", ""External Iliac Vein, Left"", ""Internal Mammary Artery, Right"", Hepatic Vein, ""Internal Jugular Vein, Right"", ""Internal Jugular Vein, Left"", ""Thyroid Artery, Right"", ""Thyroid Artery, Left"", ""External Iliac Vein, Right"", ""Pulmonary Vein, Left"", ""Innominate Vein, Right"", Superior Mesenteric Vein, ""Pulmonary Vein, Right"", ""Internal Mammary Artery, Left"", Gastric Artery, ""External Jugular Vein, Right"", Face Artery, Splenic Artery, ""Vertebral Artery, Left"", Intracranial Vein, Splenic Vein, Inferior Mesenteric Vein, Coronary Vein, ""Face Vein, Left"", ""Hand Artery, Right"", ""Hand Vein, Left"", ""Foot Vein, Left"", ""Hypogastric Vein, Left"", ""Colic Artery, Right"", ""Vertebral Artery, Right"", ""Hand Vein, Right"", ""Temporal Artery, Left""","No Device, Intraluminal Device, ""Intraluminal Device, Drug-eluting"", ""Intraluminal Device, Two"", ""Intraluminal Device, Drug-eluting, Two"", ""Intraluminal Device, Three"", ""Intraluminal Device, Drug-eluting, Three"", ""Intraluminal Device, Four or More""","Open, Percutaneous Endoscopic"
CAR008,Angioplasty and related vessel procedures (endovascular; excluding carotid),Cardiovascular Procedures,"Dilation, Extirpation, Fragmentation","""Femoral Artery, Right"", ""Femoral Artery, Left"", Intracranial Artery, ""Popliteal Artery, Left"", ""Popliteal Artery, Right"", ""Common Iliac Artery, Left"", ""Anterior Tibial Artery, Right"", ""Anterior Tibial Artery, Left"", ""Common Iliac Artery, Right"", ""Posterior Tibial Artery, Left"", ""External Iliac Artery, Right"", ""Posterior Tibial Artery, Right"", ""External Iliac Artery, Left"", ""Peroneal Artery, Left"", ""Peroneal Artery, Right"", ""Common Iliac Vein, Left"", ""Pulmonary Artery, Right"", ""Femoral Vein, Left"", ""Pulmonary Artery, Left"", ""External Iliac Vein, Left"", Upper Vein, Inferior Vena Cava, ""Femoral Vein, Right"", Upper Artery, ""Cephalic Vein, Left"", ""Common Iliac Vein, Right"", Superior Vena Cava, ""Subclavian Vein, Left"", Lower Vein, ""Brachial Artery, Left"", Superior Mesenteric Artery, ""External Iliac Vein, Right"", ""Subclavian Vein, Right"", ""Axillary Vein, Left"", ""Renal Artery, Right"", ""Brachial Artery, Right"", Lower Artery, ""Renal Artery, Left"", ""Cephalic Vein, Right"", Abdominal Aorta, ""Subclavian Artery, Left"", ""Innominate Vein, Left"", ""Axillary Vein, Right"", ""Innominate Vein, Right"", ""Brachial Vein, Left"", ""Basilic Vein, Left"", ""Foot Artery, Right"", ""Foot Artery, Left"", Celiac Artery, ""Vertebral Artery, Left"", ""Internal Iliac Artery, Left"", Innominate Artery, ""Radial Artery, Left"", Portal Vein, ""Internal Iliac Artery, Right"", ""Axillary Artery, Left"", ""Brachial Vein, Right"", Pulmonary Trunk, ""Vertebral Artery, Right"", ""Basilic Vein, Right"", ""Radial Artery, Right"", ""Axillary Artery, Right"", Intracranial Vein, ""Thoracic Aorta, Descending"", ""Subclavian Artery, Right"", ""Internal Jugular Vein, Right"", ""Thoracic Aorta, Ascending/Arch"", ""Ulnar Artery, Left"", Hepatic Artery, ""Pulmonary Vein, Left"", ""Pulmonary Vein, Right"", ""Ulnar Artery, Right"", Superior Mesenteric Vein, Hepatic Vein, ""Saphenous Vein, Left"", Splenic Vein, ""Internal Jugular Vein, Left"", ""Popliteal Artery, Distal Left"", ""Renal Vein, Left"", Inferior Mesenteric Artery, ""Popliteal Artery, Distal Right"", ""Popliteal Artery, Proximal Right"", ""Popliteal Artery, Proximal Left"", ""Saphenous Vein, Right"", ""Renal Vein, Right"", ""Internal Mammary Artery, Left"", Gastric Artery, Splenic Artery, Coronary Vein, ""Hypogastric Vein, Left"", ""Internal Mammary Artery, Right"", ""Hypogastric Vein, Right"", Gastric Vein, Colic Vein, Inferior Mesenteric Vein, ""Colic Artery, Right"", Azygos Vein, ""Hand Artery, Left"", ""External Jugular Vein, Right"", ""Foot Vein, Left"", ""Colic Artery, Left"", Hemiazygos Vein, ""Vertebral Vein, Right"", ""Foot Vein, Right"", ""Temporal Artery, Right"", ""Thyroid Artery, Right""","No Device, Intraluminal Device, ""Intraluminal Device, Drug-eluting"", ""Intraluminal Device, Two"", ""Intraluminal Device, Drug-eluting, Two"", ""Intraluminal Device, Sustained Release Drug-eluting"", ""Intraluminal Device, Three"", ""Intraluminal Device, Drug-eluting, Three"", ""Intraluminal Device, Four or More"", ""Intraluminal Device, Sustained Release Drug-eluting, Two"", ""Intraluminal Device, Sustained Release Drug-eluting, Three"", ""Intraluminal Device, Drug-eluting, Four or More"", ""Intraluminal Device, Sustained Release Drug-eluting, Four or More""",Percutaneous
CAR009,Left atrial appendage procedures,Cardiovascular Procedures,"Occlusion, Excision, Destruction","""Atrium, Left""","Extraluminal Device, Intraluminal Device, No Device","Open, Percutaneous, Percutaneous Endoscopic"
CAR010,Ligation and embolization of vessels,Cardiovascular Procedures,Occlusion,"Intracranial Artery, Hepatic Artery, ""Internal Iliac Artery, Left"", ""Pulmonary Artery, Left"", ""Internal Iliac Artery, Right"", Gastric Artery, Splenic Artery, Upper Artery, Lower Vein, Superior Mesenteric Artery, Lower Artery, ""Renal Artery, Left"", ""External Carotid Artery, Right"", ""External Carotid Artery, Left"", ""Renal Artery, Right"", Upper Vein, Inferior Mesenteric Artery, Abdominal Aorta, ""Femoral Artery, Right"", ""Femoral Artery, Left"", Gastric Vein, ""Brachial Artery, Left"", Face Artery, ""Cephalic Vein, Left"", Esophageal Vein, ""External Iliac Artery, Right"", ""External Iliac Artery, Left"", ""Subclavian Artery, Left"", ""Colic Artery, Right"", ""Internal Carotid Artery, Left"", ""Internal Carotid Artery, Right"", ""Radial Artery, Left"", ""Brachial Artery, Right"", ""Internal Mammary Artery, Left"", ""Vertebral Artery, Right"", ""Vertebral Artery, Left"", ""Internal Mammary Artery, Right"", ""Radial Artery, Right"", ""Basilic Vein, Left"", ""Cephalic Vein, Right"", ""Colic Artery, Middle"", Splenic Vein, ""Femoral Vein, Right"", ""Colic Artery, Left"", ""Brachial Vein, Left"", Celiac Artery, ""Femoral Vein, Left"", ""Renal Vein, Left"", Portal Vein, ""Common Iliac Artery, Left"", ""Pulmonary Artery, Right"", ""Subclavian Artery, Right"", ""Common Iliac Artery, Right"", ""Ulnar Artery, Left"", ""Axillary Artery, Left"", ""Popliteal Artery, Right"", Intracranial Vein, ""Internal Jugular Vein, Right"", ""Popliteal Artery, Left"", ""Common Carotid Artery, Left"", ""Internal Jugular Vein, Left"", Hepatic Vein, ""Basilic Vein, Right"", ""Ulnar Artery, Right"", Superior Mesenteric Vein, ""Saphenous Vein, Left"", ""Axillary Artery, Right"", Inferior Vena Cava, ""Thoracic Aorta, Descending"", ""Posterior Tibial Artery, Left"", ""Common Carotid Artery, Right"", ""External Jugular Vein, Right"", ""Brachial Vein, Right"", ""Thyroid Artery, Left"", ""External Jugular Vein, Left"", Pulmonary Trunk, Inferior Mesenteric Vein, ""Saphenous Vein, Right"", Superior Vena Cava, ""Temporal Artery, Right"", ""Thyroid Artery, Right"", ""Posterior Tibial Artery, Right"", ""External Iliac Vein, Left"", ""Temporal Artery, Left"", Azygos Vein, ""Anterior Tibial Artery, Left"", ""Axillary Vein, Left"", Innominate Artery, ""Common Iliac Vein, Left"", ""Hypogastric Vein, Left"", ""Anterior Tibial Artery, Right"", ""Hand Artery, Left"", ""Peroneal Artery, Left"", ""Hypogastric Vein, Right"", ""Renal Vein, Right"", ""Face Vein, Right"", ""External Iliac Vein, Right"", ""Innominate Vein, Left"", ""Axillary Vein, Right"", ""Foot Artery, Left"", ""Foot Artery, Right"", ""Peroneal Artery, Right"", ""Hand Artery, Right"", ""Common Iliac Vein, Right"", ""Pulmonary Vein, Right"", ""Face Vein, Left"", ""Pulmonary Vein, Left"", ""Vertebral Vein, Left"", ""Foot Vein, Right"", Colic Vein, ""Subclavian Vein, Left"", ""Subclavian Vein, Right"", ""Innominate Vein, Right"", Hemiazygos Vein, ""Hand Vein, Left"", ""Vertebral Vein, Right"", ""Hand Vein, Right"", ""Foot Vein, Left""","Intraluminal Device, No Device, Extraluminal Device, ""Intraluminal Device, Bioactive""","Percutaneous, Open, Percutaneous Endoscopic"
CAR011,Aneurysm repair procedures,Cardiovascular Procedures,Restriction,"Abdominal Aorta, Intracranial Artery, ""Thoracic Aorta, Descending"", ""Common Iliac Artery, Right"", ""Thoracic Aorta, Ascending/Arch"", ""Common Iliac Artery, Left"", ""Internal Iliac Artery, Right"", Hepatic Artery, Splenic Artery, ""Internal Iliac Artery, Left"", Gastric Artery, ""Femoral Artery, Right"", ""External Iliac Artery, Right"", ""External Iliac Artery, Left"", ""Renal Artery, Left"", Upper Artery, Superior Mesenteric Artery, ""Femoral Artery, Left"", ""Vertebral Artery, Left"", Pulmonary Trunk, ""Renal Artery, Right"", ""Vertebral Artery, Right"", Lower Artery, Inferior Mesenteric Artery, ""Pulmonary Artery, Left"", ""Subclavian Artery, Left"", ""Popliteal Artery, Right"", ""Pulmonary Artery, Right"", ""Popliteal Artery, Left"", Face Artery, Gastric Vein, ""Brachial Artery, Left"", Celiac Artery, Upper Vein, ""Brachial Artery, Right"", ""Colic Artery, Right"", ""Subclavian Artery, Right"", ""Colic Artery, Middle"", ""Axillary Artery, Left"", ""Cephalic Vein, Left"", ""Internal Mammary Artery, Right"", ""Internal Mammary Artery, Left"", Splenic Vein, Inferior Vena Cava, Portal Vein, Lower Vein, Intracranial Vein, Hepatic Vein, Esophageal Vein, ""Colic Artery, Left"", ""Axillary Artery, Right"", Superior Mesenteric Vein, ""Thyroid Artery, Left"", Innominate Artery, ""Brachial Vein, Left"", ""Cephalic Vein, Right"", Inferior Mesenteric Vein, ""Radial Artery, Right"", ""Temporal Artery, Left"", ""Basilic Vein, Left"", ""Temporal Artery, Right"", ""Radial Artery, Left"", ""Common Iliac Vein, Left"", ""Thyroid Artery, Right"", ""Renal Vein, Left"", ""Ulnar Artery, Right"", ""Face Vein, Left"", Azygos Vein, ""Anterior Tibial Artery, Left"", ""Peroneal Artery, Right"", ""Anterior Tibial Artery, Right"", ""Innominate Vein, Right"", ""Peroneal Artery, Left"", ""Posterior Tibial Artery, Left"", ""Saphenous Vein, Right"", ""Basilic Vein, Right"", ""Renal Vein, Right"", ""Innominate Vein, Left"", ""External Iliac Vein, Left"", ""Femoral Vein, Left"", ""Hypogastric Vein, Left"", ""Subclavian Vein, Left"", ""Ulnar Artery, Left"", ""Internal Jugular Vein, Right"", ""Axillary Vein, Right"", ""Femoral Vein, Right"", ""Internal Jugular Vein, Left"", ""Vertebral Vein, Right"", ""Brachial Vein, Right"", ""Common Iliac Vein, Right"", ""Posterior Tibial Artery, Right"", ""External Iliac Vein, Right"", ""Pulmonary Vein, Left""","Intraluminal Device, ""Intraluminal Device, Branched or Fenestrated, One or Two Arteries"", ""Intraluminal Device, Flow Diverter"", Extraluminal Device, No Device, ""Intraluminal Device, Branched or Fenestrated, Three or More Arteries"", ""Intraluminal Device, Bioactive""","Percutaneous, Open, Percutaneous Endoscopic"
